SOURCE						
https://www.computerhistory.org/timeline/software-languages/						
ID	Status	Date	Name	Inventor	Description	Image Link
SC17		1976	CP/M is developed	Gary Kildall	Gary Kildall develops the first commercially successful operating system for microcomputers, CP/M. He and his wife established Intergalactic Digital Research (modestly dropping “Intergalactic” later) to market it. CP/M made it possible for one version of a program to run on a variety of computers built around eight-bit microprocessors. At one point Digital Research and Microsoft were approached by IBM about providing an operating system for its PC. Microsoft won the competition with its own operating system, called MS-DOS.	https://images.computerhistory.org/timeline/timeline_sw.languages_1976.cpm.jpg
SC18		1978	WordStar	Rob Barnaby	Among the first popular word processing systems for personal computers, WordStar originally ran on the CP/M operating system, and later on DOS and Windows. In 1981, it had significant market share, in part because it came bundled with the Osborne 1 computer. WordStar retained a loyal following well after Microsoft Word surpassed it in sales.	https://images.computerhistory.org/timeline/timeline_sw.languages_1978.wordstar.jpg
SC19		1979	VisiCalc	Dan Bricklin and Bob Frankston	The program that turned the personal computer into a business machine. Initially developed for the Apple II, whose sales it boosted, VisiCalc automated the recalculation of spreadsheets, allowing users to ask “What if?” questions of their financial information.	https://images.computerhistory.org/timeline/timeline_sw.languages_1979.visicalc.jpg
SC20		1981	MS-DOS released with the IBM PC	Bill Gates and Paul Allen	MS-DOS, or Microsoft Disk Operating System, the basic software for the newly released IBM PC, is the start of a long partnership between IBM and Microsoft, which Bill Gates and Paul Allen had founded only six years earlier. IBM’s PC inspired hardware imitators in the 1980s, but for software, most licensed MS-DOS. MS-DOS was eventually supplanted by Microsoft’s Windows operating system.	https://images.computerhistory.org/timeline/timeline_sw.languages_1981.msdos.jpg
SC21		1982	Lotus 1-2-3	Mitch Kapor	A software suite for the IBM PC based on a word processor, spreadsheet, and database.	https://www.computerhistory.org/timeline/1982/#169ebbe2ad45559efbc6eb357202c2f4
SC22		1983	Word	Microsoft	Originally called Multi-Tool Word	https://pixabay.com/vectors/microsoft-word-ms-word-ms-word-icon-5963679/
SC23		1984	Verilog	Phil Moorby & Prabhu Goel	A hardware description language that is used in the design of digital circuitry.	https://images.computerhistory.org/timeline/timeline_sw.languages_1984.verilog.jpg
SC24		1985	C++ programming language	Bjarne Stroustrup	Emerges as the dominant object-oriented language in the computer industry	https://images.computerhistory.org/timeline/timeline_sw.languages_1985.c++.jpg
SC25		1987	HyperCard	William Atkinson	A software tool that simplifies development of in-house applications.	https://images.computerhistory.org/timeline/timeline_sw.languages_1987.hypercard.jpg
SC26		1988	Mathematica	Stephen Wolfram	A complete ecosystem for computing that allowed symbolic entry of mathematical functions and equations as well as graphical display of the results.	https://images.computerhistory.org/timeline/timeline_sw.languages_1988.mathematica.jpg
SC27		1990	Photoshop	John and Thomas Knoll	An image editing program and the most popular software program published by Adobe Systems.	https://pixabay.com/illustrations/photoshop-logo-symbol-adobe-icon-1065296/
SC28		1991	Linux kernel	Linus Torvalds	It was first released to several Usenet newsgroups	https://commons.wikimedia.org/wiki/File:Tux.svg
SC29		1993	FreeBSD		Incorporated features including networking, storage, security, portability and Linux compatibility.	https://images.computerhistory.org/timeline/timeline_sw.languages_1993.freebsd1.jpg
SC30		1995	Java 1.0	Sun Microsystems	It was a successor to the Oak programming language created by James Gosling	https://www.computerhistory.org/timeline/1995/#169ebbe2ad45559efbc6eb357203b448
SC31		1995	Javascript	Brendan Eich	An object-based scripting language that used extensively across the Internet on both client and server sides.	https://images.computerhistory.org/timeline/timeline_sw.languages_1995.javascript.jpg
SC32		1995	Windows 95 operating system	Microsoft	A major improvement over the previous Windows 3.1, adding features such as “Plug and Play” for more easily installing new peripherals, as well as the Taskbar and Start button menu	https://www.computerhistory.org/timeline/1995/#a2eed4bb9308a22315003de9062221ec
SC33		1997	Visual Studio 	Microsoft	It consist of number of programming tools, as Microsoft’s intent was to create a single environment where developers could use different programming languages.	https://images.computerhistory.org/timeline/timeline_sw.languages_1997.visualstudio.jpg
SC34		2000	Y2K bug		Fuels news reports that the onset of the year 2000 will cripple telecommunications, the financial sector and other vital infrastructure.	https://images.computerhistory.org/timeline/timeline_sw.languages_2000.y2Kbug.jpg
SC35		2001	BitTorrent	Bram Cohen	A peer-to-peer file sharing service that enabled users to upload and download files, typically music and movies.	https://images.computerhistory.org/timeline/timeline_sw.languages_2001.bittorrent.jpg
SC36		2001	Mac OS X	Apple	Introduced a more stable and reliable platform and multiple applications could more efficiently be run at the same time.	https://www.computerhistory.org/timeline/software-languages/#169ebbe2ad45559efbc6eb35720895b9
SC37		2001	Windows XP	Microsoft	Was considered more stable than previous versions of the operating system. It also as widely adopted by industry and persisted much longer than Microsoft planned.	https://www.flickr.com/photos/johnbullas/2868734616/
SC38		2001	iTunes	Apple	Allowed users to record music from CDs, bring it into iTunes, mix it with other songs and then burn a custom CD.	https://iconscout.com/icon/itunes-28
SC39		2005	Hadoop	Google	An open source software project initially developed as a means of extracting search results from large amounts of unstructured data, such as data found on the web.	https://www.computerhistory.org/timeline/2005/#169ebbe2ad45559efbc6eb35720c6ce8
SC40		2010	Stuxnet Virus 		The virus attempted to damage uranium enrichment centrifuges used in Iran’s nuclear development program by causing damaging speed variations.	https://images.computerhistory.org/timeline/timeline_sw.languages_2010.stuxnet.jpg
SC41		2011	Adobe Creative Cloud	Adobe	This model allowed Adobe to begin releasing continuous updates to their products, shortening the development cycle and the time need to incorporate new features.	https://commons.wikimedia.org/wiki/File:Creative_Cloud.svg
SC42		2013	Updated Microsoft 365	Microsoft	Microsoft’s Word, Excel, OneNote, PowerPoint, Outlook, Access, and Publisher were all available in packages for a monthly or annual subscription. Also included with a subscription was 1 TB of cloud storage on Microsoft’s One Drive (formerly Skydrive). Home, personal, university, business, and enterprise subscription plans were made available for a wide range of users.	https://commons.m.wikimedia.org/wiki/File:Microsoft_Office_logo_(2013%E2%80%932019).png
SC43		2014	HTML 5	Web Hypertext Application Technology Working Group.	Announced as the successor to HTML 4, which had become the standard for web markup languages in 1997.	https://www.computerhistory.org/timeline/2014/#169ebbe2ad45559efbc6eb3572096e7a
