SOURCE						
https://www.computerhistory.org/timeline/networking-the-web/						
ID	Status	Date	Name	Inventor	Description	Image Link
NC11		1970	The ERMA system		The ERMA system had revolutionized behind-the-scenes check processing in the 1950s, spawning the funny letters still at the bottom of checks today. During the 1960s researchers in various countries have been working on bringing automation – and online transactions – to customers in the form of an Automated Teller Machine (ATM).	https://images.computerhistory.org/timeline/timeline_networking.web_1970_atm.jpg
NC12		1971	Networked Email as an Early “Killer App”	Ray Tomlinson of Bolt, Beranek and Newman	Messages are free to travel anywhere the network goes, and email explodes. Ray Tomlinson of Bolt, Beranek and Newman chooses the now-iconic “@” sign for his networked email protocol on the ARPANET, well over 50% of traffic on that research-oriented network is email. Nearly all other networks add email features	https://images.computerhistory.org/timeline/timeline_networking.web_1971.tomlinson.jpg
NC13		1973	Packet Radio Research Van	ARPANET	ARPA funds the outfitting of a packet radio research van at SRI to develop standards for a Packet Radio Network (PRNET). As the unmarked van drives through the San Francisco Bay Area, stuffed full of hackers and sometimes uniformed generals, it is pioneering wireless, packet-switched digital networks, including the kind your mobile phone uses today. A related set of experiments test out Voice Over IP (like the later Skype). The van will also play a huge role  as a major birthplace of the Internet.	https://images.computerhistory.org/timeline/timeline_networking.web_1973_sri.van.jpg
NC14		1974	SNA (Systems Network Architecture)	IBM	IBM has been building hierarchical, special-purpose networks since the SAGE system and SABRE not long after.It announces Systems Network Architecture (SNA), a set of protocols designed for less centralized networks. SNA will evolve into an internet-like network of networks, albeit one reserved for those that were SNA compliant. DEC and Xerox will also begin commercializing their own proprietary networks, DECNET and XNS. At it’s peak around 1990, IBM’s SNA will quietly carry most of the world's networking traffic.	https://images.computerhistory.org/timeline/timeline_networking.web_1974_sna.jpg
NC15		1975	Community Memory		Anyone can walk up and use this terminal, connected to a timeshared mainframe computer, for posting messages and announcements.	https://images.computerhistory.org/timeline/timeline_networking.web_1975_communitymemory.jpg
NC16		1979	MUDs	Richard Bartle and Roy Trubshaw	Become popular with college students as a means of adventure gaming and for socializing.	https://images.computerhistory.org/timeline/timeline_networking.web_1979_muds.jpg
NC17		1980	Enquire	Tim Berners-Lee	A networked hypertext system used for project management but with far greater ambitions	https://images.computerhistory.org/timeline/timeline_networking.web_1980_enquire.jpg
NC18		1984	OSI standard	ISO	Is the first with international backing, and support from the International Standards Organization as an official standard.	https://images.computerhistory.org/timeline/timeline_networking_1984.osi.standard.jpg
NC19		1985	Whole Earth 'Lectronic Link(Well)	Stewart Brand and Larry Brilliant	Attracts an eclectic mix of intellectuals, computer geeks, hippies, Grateful Dead fans, writers, entrepreneurs, and journalists.	https://images.computerhistory.org/timeline/timeline_networking_1985.the-well.jpg
NC20		1988	Morris Worm	Robert T. Morris	The first worm to have a major effect on real-world computer systems, and publicizes the importance of network security.	https://images.computerhistory.org/timeline/timeline_networking.web_1988_morrisworm.jpg
NC21		1990	WorldWideWeb is born	Tim Berners-Lee	It features a server, HTML, URLs, and the first browser. That browser also functions as an editor—like a word processor connected to the Internet – which reflects his original vision that the Web also incorporate authoring and personal organization tools.	https://images.computerhistory.org/timeline/timeline_networking_1990.mosaic-www-browser-editor.jpg
NC22		1993	Mosaic	Marc Andreessen & Eric Brina	The first browser supported by a major institution, starts the Web on the road from research project to blockbuster success.	https://images.computerhistory.org/timeline/timeline_networking_1993.mosaic.jpg
NC23		1999	Wi-Fi	Wi-Fi Alliance	The rebranded name of the growing IEEE 802.11b short-range radio networking standard	https://images.computerhistory.org/timeline/timeline_networking_1999.wifi_comes_home.jpg
NC24		2004	Web 2.0	O’Reilly and Associates	Sites in this version find various workarounds – from wiki and blogging software to commenting features – to give users a voice.	https://images.computerhistory.org/timeline/timeline_networking_2000.web_2_brings_back.jpg
NC25		2006	The Cloud		The computer utility model starts to became fashionable again under this name	https://images.computerhistory.org/timeline/timeline_networking_2010.the_cloud.jpg
NC26		2009	The Mobile Web Hits the Mass Market		3G networks for higher speed mobile data had been spreading fast. The iPhone’s phenomenal popularity creates a new computing platform that brings mobile Web browsing to a large audience. Google’s Android mobile platform soon makes that audience even larger.	https://images.computerhistory.org/timeline/timeline_networking_2008.mobile_web_hits.jpg
