SOURCE						
https://www.computerhistory.org/timeline/computers/						
ID	Status	Date	Name	Inventor	Description	Image Link
CC15		1957	Digital Equipment Corporation (DEC)	Ken and Stan Olsen, and Harlan Anderson	DEC is founded initially to make electronic modules for test, measurement, prototyping and control markets.Digital Equipment Corporation, took over 8,680 square foot leased space in a nineteenth century mill that once produced blankets and uniforms for soldiers who fought in the Civil War.	https://images.computerhistory.org/timeline/timeline_computers_1957.themill.jpg
CC16		1958	SAGE system		The first large-scale computer communications network, SAGE connects 23 hardened computer sites in the US and Canada. Its task was to detect incoming Soviet bombers and direct interceptor aircraft to destroy them. Operators directed actions by touching a light gun to the SAGE airspace display. The air defense system used two AN/FSQ-7 computers, each of which used a full megawatt of power to drive its 55,000 vacuum tubes, 175,000 diodes and 13,000 transistors.	https://images.computerhistory.org/timeline/timeline_computers_1958.sage.jpg
CC17		1961	IBM 7030 (“Stretch”)		The top of the line was the Model 7030, also known as "Stretch." Nine of the computers, which featured dozens of advanced design innovations, were sold, mainly to national laboratories and major scientific users	https://commons.wikimedia.org/wiki/File:IBM_7030-CNAM_22480-IMG_5115-gradient.jpg
CC18		1962	The LINC	Wesley Clark	The LINC is an early and important example of a ‘personal computer,’ that is, a computer designed for only one user. It was designed by MIT Lincoln Laboratory engineer Wesley Clark.	https://www.computerhistory.org/timeline/computers/#169ebbe2ad45559efbc6eb35720090f4
CC19		1964	The Control Data Corporation (CDC) 6600		The Control Data Corporation (CDC) 6600 performs up to 3 million instructions per second —three times faster than that of its closest competitor, the IBM 7030 supercomputer. The 6600 retained the distinction of being the fastest computer in the world until surpassed by its successor, the CDC 7600. Part of the speed came from the computer´s design, which used 10 small computers, known as peripheral processing units, to offload the workload from the central processor.	https://commons.wikimedia.org/wiki/File:CDC_6600.jc.jpg
CC20		1965	Olivetti Programma 101		This printing programmable calculator was made from discrete transistors and an acoustic delay-line memory. The Programma 101 could do addition, subtraction, multiplication, and division, as well as calculate square roots. 40,000 were sold, including 10 to NASA for use on the Apollo space project.	https://commons.wikimedia.org/wiki/File:Olivetti_Programma_101_(2).jpg
CC21		1966	The HP 2116A		The 2116A is HP’s first computer. It was developed as a versatile instrument controller for HP's growing family of programmable test and measurement products. It interfaced with a wide number of standard laboratory instruments, allowing customers to computerize their instrument systems. The 2116A also marked HP's first use of integrated circuits in a commercial product.	https://images.computerhistory.org/timeline/timeline_computers_1966.HP2116A.jpg
CC22		1968	Apollo Guidance Computer (AGC)		The Apollo Guidance Computer (AGC) is the culmination of years of work to reduce the size of the Apollo spacecraft computer from the size of seven refrigerators side-by-side to a compact unit weighing only 70 lbs. and taking up a volume of less than 1 cubic foot. The AGC’s first flight was on Apollo 7.	https://commons.wikimedia.org/wiki/File:ApolloGuidanceComputerwithDSKY.dwt.jpg
CC23		1970	Amdahl 470	Gene Amdahl	Gene Amdahl, father of the IBM System/360, starts his own company, Amdahl Corporation, to compete with IBM in mainframe computer systems. The 470V/6 was the company’s first product and ran the same software as IBM System/370 computers but cost less and was smaller and faster.	https://commons.wikimedia.org/wiki/File:Amdahl_470V_6_Computer_-_Computer_History_Museum_(30596530630).jpg
CC24		1971	The HP-35	Bill Hewlett	Marketed as “a fast, extremely accurate electronic slide rule” with a solid-state memory similar to that of a computer, the HP-35 distinguished itself from its competitors by its ability to perform a broad variety of logarithmic and trigonometric functions, to store more intermediate solutions for later use, and to accept and display entries in a form similar to standard scientific notation. The HP-35 helped HP become one of the most dominant companies in the handheld calculator market for more than two decades.	https://commons.wikimedia.org/wiki/File:HP_35_Calculator.jpg
CC25		1973	The TV Typewriter	Don Lancaster	The TV Typewriter is an easy-to-build kit that can display alphanumeric information on an ordinary television set. It used $120 worth of electronics components, as outlined in the September 1973 issue of hobbyist magazine Radio Electronics. The original design included two memory boards and could generate and store 512 characters as 16 lines of 32 characters. A cassette tape interface provided supplementary storage for text. The TV Typewriter was used by many small television stations well in the 1990s.	https://www.flickr.com/photos/mwichary/2289509670
CC26		1974	The Alto	Xerox Alto	The Alto is a groundbreaking computer with wide influence on the computer industry. It was based on a graphical user interface using windows, icons, and a mouse, and worked together with other Altos over a local area network. It could also share files and print out documents on an advanced Xerox laser printer. Applications were also highly innovative: a WYSISYG word processor known as “Bravo,” a paint program, a graphics editor, and email for example. Apple’s inspiration for the Lisa and Macintosh computers came from the Xerox Alto.	https://commons.wikimedia.org/wiki/File:Xerox_Alto_computer.jpg
CC27		1975	The Video Display Module (VDM)		The Video Display Module (VDM) marks the first implementation of a memory-mapped alphanumeric video display for personal computers. Introduced at the Altair Convention in Albuquerque, the visual display module enabled the use of personal computers for interactive games.	https://www.computerhistory.org/timeline/computers/#169ebbe2ad45559efbc6eb35720a8536
CC28		1976	Intel 8080 and Zilog Z-80	Intel and Zilog	Intel and Zilog introduced new microprocessors. Five times faster than its predecessor, the 8008, the Intel 8080 could address four times as many bytes for a total of 64 kilobytes. The Zilog Z-80 could run any program written for the 8080 and included twice as many built-in machine instructions.	https://www.computerhistory.org/timeline/computers/#169ebbe2ad45559efbc6eb3572004a8b
CC29		1977	Apple II	APPLE	Sold complete with a main logic board, switching power supply, keyboard, case, manual, game paddles, and cassette tape containing the game Breakout, the Apple-II finds popularity far beyond the hobbyist community which made up Apple’s user community until then. When connected to a color television set, the Apple II produced brilliant color graphics for the time.	https://www.computerhistory.org/timeline/1977/#169ebbe2ad45559efbc6eb35720e7660
CC30		1978	VAX Family Computers	Digital Equipment Corporation	Called a “complex instruction set computer,” VAX systems were backward compatible and so preserved the investment owners of previous DEC computers had in software.	https://www.computerhistory.org/timeline/computers/#169ebbe2ad45559efbc6eb35720697de
CC31		1979	68000 microprocessor	Motorola	This high performance processor found its place in powerful work stations intended for graphics-intensive programs common in engineering.	https://commons.wikimedia.org/wiki/File:Motorola_68000_die.JPG
CC32		1981	IBM Model 5150	IBM	It was based on a 4.77 MHz Intel 8088 microprocessor and used Microsoft´s MS-DOS operating system.	https://www.flickr.com/photos/wizzer/5357865167
CC33		1984	Macintosh	Apple	It was the first successful mouse-driven computer with a graphical user interface and was based on the Motorola 68000 microprocessor. 	https://www.computerhistory.org/timeline/1984/#169ebbe2ad45559efbc6eb3572026cc9
CC34		1989	80486 microprocessor	Intel	It has optimized instruction set, with an on-chip unified instruction and data cache and an optional on-chip floating-point unit.	https://commons.wikimedia.org/wiki/File:Intel_i486_dx_50mhz_2007_03_27.jpg
CC35		1993	Pentium microprocessor	Intel	It introduced several advances that made programs run faster such as the ability to execute several instructions at the same time and support for graphics and music.	https://commons.wikimedia.org/wiki/File:A80502100_sy007_pentium_observe.png
CC36		1996	Vaio computers	Sony	Best known for laptops were designed with communications and audio-video capabilities at the forefront, including innovative designs that incorporated TV and radio tuners, web cameras, and handwriting recognition.	https://www.computerhistory.org/timeline/1996/#169ebbe2ad45559efbc6eb35720aa02c
CC37		2000	J-Phone J-SH04	Samsung Sharp	The first camera phone	https://commons.wikimedia.org/wiki/File:Sharp_J-SH04_CP%2B_2011.jpg
CC38		2007	IPhone	Apple	A combination of web browser, music player and cell phone	https://commons.wikimedia.org/wiki/File:IPhone_First_Generation.jpg
CC39		2012	Rasberry Pi	Rasberry Pi Inc.	Acredit card-sized single board computer, is released as a tool to promote science education	https://www.computerhistory.org/timeline/2012/#169ebbe2ad45559efbc6eb35720cd1b7
CC40		2015	Apple Watch	Apple	It was designed to be incorporated into the Apple environment with compatibility with iPhones and Mac Books.	https://commons.wikimedia.org/wiki/File:Apple_Watch.jpg
